Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price
2014,52431,22.5,998.0,67.04,5.0,2.4334494414806613
2018,11500,28.4,1248.0,74.0,5.0,7.992971018975368
2010,75695,13.7,1368.0,88.8,5.0,2.3769766039235947
2012,38092,20.77,1248.0,88.8,7.0,1.8821589145786675
2014,57000,15.8,2148.0,170.0,5.0,19.57131134909241
2016,53000,14.67,1798.0,177.46,5.0,21.98954122622763
2005,131000,11.0,2987.0,198.5,5.0,16.001985466739825
2016,35000,24.7,796.0,47.3,5.0,1.300192254652302
2015,48600,12.0,2987.0,224.0,7.0,28.207254652383654
2010,54000,17.8,1199.0,76.8,5.0,0.10444607337558409
2014,88500,23.2,1248.0,73.94,5.0,4.002998291407039
2014,48000,16.36,2179.0,187.7,5.0,22.02542650512669
2012,4187,26.0,624.0,35.0,4.0,-4.271469238067311
2019,1000,18.12,1196.0,86.8,5.0,11.170546550135441
2013,73212,22.9,1248.0,74.0,5.0,2.906958305567514
2016,29000,10.91,3198.0,197.0,7.0,26.116923169607162
2016,72566,25.83,1498.0,99.0,5.0,10.056002324696692
2015,35000,18.6,1197.0,81.83,5.0,6.169546485188675
2017,2196,22.74,796.0,47.3,5.0,2.422419386171441
2011,85000,11.7,2354.0,177.6,5.0,18.068943647403557
2014,30180,18.5,1197.0,82.85,5.0,5.214553225827785
2016,61012,18.6,1197.0,81.83,5.0,7.3070989662587635
2013,22000,23.4,1248.0,74.0,5.0,2.7912179043587457
2016,58205,19.27,2143.0,167.62,5.0,21.25592478648332
2016,45449,27.3,1498.0,98.6,5.0,9.884033105701292
2013,90000,22.48,1995.0,190.0,5.0,20.605660218458524
2014,35059,17.21,1798.0,189.0,4.0,22.23562714078662
2012,64709,12.8,2354.0,177.6,5.0,19.07178337362984
2015,59000,18.5,1197.0,80.0,5.0,5.967049211310041
2008,45000,16.77,2967.0,241.38,5.0,24.672847538854057
2012,97000,20.0,1497.0,115.0,5.0,8.19632966330937
2015,33000,16.8,1984.0,150.0,5.0,17.445763269079634
2017,55389,18.88,1995.0,184.0,5.0,24.251047751539772
2013,60000,17.32,1968.0,184.0,5.0,19.905599901365804
2016,100200,11.36,2755.0,171.5,7.0,21.684446533045957
2014,45617,20.77,1248.0,88.76,7.0,4.071380369178769
2016,29091,18.9,1197.0,81.86,5.0,7.239604210808466
2014,54000,20.14,1197.0,81.86,5.0,5.045972599756169
2013,114000,22.32,1582.0,126.3,5.0,10.958164574789862
2011,98000,22.32,1582.0,126.32,5.0,8.75089136154702
2009,22100,16.1,796.0,37.0,4.0,-6.370046416669538
2007,91000,15.6,1896.0,106.0,5.0,2.650287376475262
2013,17003,19.4,1198.0,86.8,5.0,4.60150543427153
2016,19148,16.1,1197.0,85.0,5.0,7.781398253395309
2017,26327,16.82,1998.0,189.08,4.0,25.994411239883902
2016,32000,19.1,1197.0,85.8,5.0,7.774917981202179
2011,124652,11.7,2993.0,245.0,5.0,28.880832561510033
2009,118000,12.8,2494.0,102.0,8.0,2.8860534410928267
2008,178280,12.8,2494.0,102.0,8.0,1.9044273064946537
2014,42315,18.5,1197.0,82.9,5.0,5.24332510086515
2015,43190,19.01,1461.0,108.5,5.0,10.441620160824641
2016,34079,25.32,1198.0,77.0,6.0,5.290008712150211
2015,46166,26.21,1248.0,88.5,5.0,6.870461934246578
2016,67774,14.81,1998.0,163.7,5.0,20.600027792579567
2014,29000,17.11,1968.0,174.33,5.0,19.62617307917344
2014,90000,20.36,1197.0,78.9,5.0,4.695626112862556
2011,39002,23.08,1461.0,63.1,5.0,-0.33172260499213735
2013,167362,11.68,2498.0,112.0,7.0,9.765562656882594
2019,80000,11.5,2982.0,171.0,7.0,25.382490698269066
2008,82203,19.81,1086.0,68.05,5.0,-3.5844671521508644
2015,480000,17.4,1497.0,117.3,5.0,12.595539339537936
2013,80430,17.21,1493.0,100.0,7.0,5.3280400307407945
2016,31001,18.44,1198.0,75.0,5.0,6.32772009786413
2008,80000,13.5,1799.0,130.0,5.0,6.873894952606406
2015,65178,19.87,1461.0,83.8,5.0,7.060313207824947
2015,48000,16.0,2179.0,140.0,7.0,14.607558944346238
2015,52000,12.7,2179.0,187.7,5.0,23.293044790525528
2017,27100,16.78,1496.0,88.73,5.0,10.073780832986813
2009,57000,19.81,1086.0,68.05,5.0,-2.539458218971504
2012,41284,20.0,1399.0,68.05,5.0,1.4365737273537889
2011,86500,21.12,1248.0,88.8,5.0,2.8584102805602924
2008,62000,15.0,1586.0,104.68,5.0,2.8010963255214847
2017,26000,23.65,1248.0,88.5,5.0,9.133917968948936
2013,75348,25.8,1498.0,98.6,5.0,6.736016905517317
2017,26185,18.6,1197.0,81.83,5.0,8.334717699205612
2010,83000,19.3,1248.0,73.9,5.0,-0.1936369389659376
2013,43284,23.4,1248.0,74.0,5.0,2.829677279020416
2015,48000,15.73,1968.0,174.33,5.0,20.815093420998892
2016,50000,24.52,1248.0,88.5,7.0,6.050791960776223
2016,46300,14.07,1948.0,83.1,7.0,7.448364299975765
2012,52000,28.4,1248.0,74.0,5.0,1.5228542248319172
2014,23840,20.51,998.0,67.04,5.0,2.4741316483759874
2008,66000,19.7,796.0,46.3,5.0,-7.273055391777234
2012,64709,12.8,2354.0,177.6,5.0,19.07178337362984
2012,120000,22.9,1248.0,74.0,5.0,1.9009526425475087
2011,90000,13.93,2179.0,138.1,7.0,10.157222627393367
2016,43152,20.73,1373.0,91.1,5.0,8.86193613843625
2014,108000,25.2,1248.0,74.0,5.0,3.9536382219384905
2008,79000,11.7,2354.0,177.6,5.0,14.786452503438795
2017,54455,22.0,1498.0,108.495,5.0,12.591306026169605
2013,35433,18.5,1197.0,85.8,5.0,4.537314636812425
2016,54000,20.77,1248.0,88.76,7.0,6.267627711998102
2015,38000,15.73,1968.0,174.33,5.0,20.797023803134834
2013,61672,16.0,2179.0,140.0,7.0,12.451164143725691
2012,100000,10.0,2496.0,157.7,5.0,16.87786054306025
2011,99000,13.6,2523.0,63.0,7.0,0.7235659749849219
2006,109000,16.9,1497.0,100.0,5.0,-0.23474956949576153
2015,30458,23.1,998.0,67.04,5.0,3.4564521321854045
2014,64889,15.5,1896.0,105.0,5.0,10.10470691449882
2015,58970,17.11,1968.0,174.33,5.0,20.770877514994027
2016,42876,19.08,1582.0,126.2,5.0,14.23795754726143
2016,55547,12.55,2982.0,168.5,7.0,21.67571122466279
2017,43000,13.68,2393.0,147.8,7.0,18.462042510480387
2011,70000,19.81,1086.0,68.05,5.0,-0.33486813358422296
2012,82000,22.9,1248.0,74.0,5.0,1.8322880946643636
2010,78000,20.0,1399.0,68.0,5.0,-0.6850258396202662
2012,71000,23.0,1396.0,90.0,5.0,4.348636654256097
2010,66000,18.6,1199.0,79.4,5.0,0.44491445157427734
2016,19000,21.76,1995.0,190.0,5.0,23.78242657972396
2017,26400,23.1,998.0,67.04,5.0,5.6302190634205544
2008,53934,18.9,998.0,67.1,5.0,-3.9318637946694253
2017,15731,15.29,1591.0,121.3,5.0,14.805903904749357
2010,70000,16.1,796.0,37.0,4.0,-5.192943156018828
2007,118000,12.9,1598.0,102.5,5.0,1.6392022369618644
2015,34000,9.0,1984.0,181.0,5.0,22.053049839253617
2010,66000,18.6,1199.0,79.4,5.0,0.44491445157427734
2015,47234,18.0,1198.0,86.7,5.0,6.8885088584524965
2011,45000,14.4,1598.0,103.6,5.0,5.950463030977971
2017,72668,14.24,2755.0,174.5,7.0,23.002265578374136
2018,42203,17.1,1956.0,170.0,5.0,23.391537247153792
2017,32000,15.0,1248.0,88.5,5.0,9.546159083390648
2016,73000,13.68,2393.0,147.8,7.0,17.42570157299042
2016,55115,14.74,2993.0,270.9,5.0,37.612256955375415
2010,17088,18.6,1199.0,79.4,5.0,0.35653233667744644
2013,65000,19.3,1248.0,73.9,5.0,3.045487122124996
2014,59962,20.45,1461.0,83.8,5.0,5.933423665988812
2017,26246,15.29,1591.0,121.3,5.0,14.824904107933435
2018,30733,20.68,1995.0,190.0,5.0,26.03484415680805
2014,26008,21.1,814.0,55.2,5.0,0.39396284845634
2015,44000,21.14,1498.0,103.52,5.0,9.750205391101645
2014,42000,24.0,1120.0,70.0,5.0,3.0392395415183273
2014,88046,10.1,2354.0,152.0,5.0,17.916014698905656
2014,20364,17.21,1197.0,103.6,5.0,8.097101366517109
2013,56454,28.4,1248.0,73.75,5.0,2.5872302549137203
2015,21000,18.6,1197.0,81.83,5.0,6.144249020178904
2015,52950,14.0,796.0,35.0,5.0,-0.9451147692107043
2017,23550,19.27,2143.0,167.62,5.0,22.28385431685774
2017,22526,18.9,1197.0,82.0,5.0,8.337455600289104
2016,51587,25.8,1498.0,98.6,5.0,9.964731059757014
2012,52618,18.9,998.0,67.1,5.0,0.42795740794827
2011,51000,22.69,1995.0,190.0,5.0,18.344344171459397
2005,5834,13.2,1495.0,94.0,5.0,-2.1660854453739375
2013,37000,23.59,1364.0,67.04,5.0,2.1316071567730432
2014,46374,14.62,1999.0,149.92,5.0,16.505130493861998
2009,28888,10.0,2496.0,157.7,5.0,13.477714503258994
2018,5833,21.13,1498.0,108.4,5.0,13.621365330245226
2008,131000,10.5,2609.0,120.0,7.0,5.659964018926985
2014,90000,12.05,2179.0,120.0,8.0,10.040656339328962
2014,77469,20.45,1461.0,83.8,5.0,5.965058145983221
2017,5900,21.43,1364.0,87.2,5.0,9.297503197882634
2013,95500,20.54,1598.0,103.6,5.0,7.937890256134324
2013,75000,19.64,1461.0,108.45,5.0,8.281920773829825
2016,10000,16.36,2179.0,187.7,5.0,24.137861539407822
2014,47000,18.88,1995.0,184.0,5.0,20.9642397758671
2013,65000,20.14,1498.0,88.0,5.0,5.528956731950075
2014,52000,21.14,1498.0,103.6,5.0,8.685062324325827
2015,69189,23.59,1364.0,67.06,5.0,4.373608789383525
2014,45000,17.05,1995.0,184.0,5.0,21.045546175879736
2012,75000,12.39,2179.0,147.51,5.0,14.57581724458987
2013,156000,19.87,1461.0,83.8,5.0,5.0433255090251805
2011,34000,10.5,1796.0,157.7,5.0,13.986323906907273
2019,3000,24.7,796.0,47.3,5.0,4.514018850733919
2012,162663,12.99,2494.0,100.0,7.0,6.95360020545786
2015,50000,16.36,2179.0,187.7,5.0,23.119590219781912
2012,35000,14.74,2993.0,270.9,5.0,33.2137107547137
2014,54890,17.8,1199.0,76.8,5.0,4.468253433694372
2011,41988,20.0,1968.0,138.1,5.0,11.284435662671513
2010,85155,17.0,1197.0,80.0,5.0,0.6311681640340794
2013,73648,15.1,2179.0,140.0,7.0,12.51456841164645
2014,54000,16.1,1197.0,85.0,5.0,5.663274903410638
2010,79324,21.1,1248.0,73.9,5.0,-0.28380751762597356
2014,45000,22.7,1582.0,126.24,5.0,11.898187001704628
2015,59630,13.0,2143.0,201.1,5.0,25.041912495734778
2011,75000,16.73,1995.0,218.0,5.0,22.49714286808785
2011,100000,14.0,2987.0,224.0,5.0,25.840695569911077
2015,28843,17.01,1499.0,110.5,5.0,10.872314746597112
2012,92000,14.8,1799.0,130.2,5.0,11.224829320479785
2010,124313,12.99,2494.0,100.6,8.0,3.7875506924724505
2015,62088,18.6,1197.0,85.8,5.0,6.761938330552766
2015,24617,22.74,796.0,47.3,5.0,0.2818336942204951
2013,75371,20.46,1461.0,83.8,5.0,4.870253303589379
2012,83000,23.08,1461.0,63.1,5.0,0.8383298907683638
2017,35000,21.38,1396.0,88.7,5.0,9.63355611603265
2016,67000,26.0,1498.0,98.6,5.0,9.983300852089542
2011,119000,13.1,2499.0,141.0,7.0,11.403298032061684
2014,56549,22.7,1498.0,89.84,5.0,6.737313935398106
2015,32000,20.4,1248.0,91.7,5.0,7.552516140426178
2008,77325,15.6,1586.0,104.68,5.0,2.800945285853686
2010,62000,20.36,1197.0,78.9,5.0,0.2828320185149096
2016,51000,24.4,1120.0,71.0,5.0,5.354927835585386
2009,53000,8.7,2987.0,224.34,5.0,23.867154767908232
2013,100000,16.8,1497.0,116.3,5.0,9.61874913239717
2015,15305,18.9,1197.0,82.0,5.0,6.143307947065296
2012,42000,17.0,1497.0,118.0,5.0,8.646824035840837
2018,52380,24.3,1248.0,88.5,5.0,10.241972455491577
2010,36000,20.36,1197.0,78.9,5.0,0.23585101206845138
2010,90000,20.0,1399.0,68.0,5.0,-0.6633422981835793
2015,99000,13.0,2982.0,168.5,7.0,20.642797297301968
2017,17000,10.91,3198.0,197.0,7.0,27.18578941925216
2015,20045,17.0,1197.0,80.0,5.0,5.966265837531864
2014,72563,22.77,1498.0,98.59,5.0,7.960771210946859
2011,84912,20.36,1197.0,78.9,5.0,1.414782918046967
2014,58000,15.1,2179.0,140.0,7.0,13.576842864694754
2016,15000,18.9,1197.0,82.0,5.0,7.233306614802586
2010,62489,17.0,1197.0,80.0,5.0,0.5902115681833493
2005,90000,15.3,1341.0,61.0,5.0,-6.993625652951778
2017,67489,13.68,2393.0,147.8,7.0,18.506293197667674
2018,11966,16.8,1497.0,116.3,5.0,14.912424013904001
2015,25648,13.7,1399.0,98.82,7.0,7.188786677741064
2010,57000,26.0,624.0,35.0,4.0,-6.357137747406341
2013,38998,16.07,1995.0,181.0,4.0,20.576749503456995
2011,43000,20.36,1197.0,78.9,5.0,1.3390495356552492
2015,42831,26.0,1498.0,98.6,5.0,8.849078601591827
2008,122397,17.5,1896.0,106.0,5.0,3.7094017047907073
2018,14000,17.4,1497.0,117.3,5.0,15.025144520320737
2011,112000,12.8,2494.0,102.0,7.0,6.054096923963243
2017,14618,18.6,1197.0,81.83,5.0,8.31381657222255
2009,75000,14.7,1150.0,76.0,5.0,-1.0299104767864264
2013,49106,15.04,1598.0,103.2,5.0,8.05452793718132
2014,39626,11.2,2993.0,241.0,4.0,32.4722796467845
2015,89000,17.01,1591.0,121.3,5.0,12.677382782452241
2014,54000,16.1,1197.0,85.0,5.0,5.663274903410638
2014,51355,14.84,2143.0,170.0,5.0,19.593812808472194
2014,54569,20.77,1248.0,88.76,7.0,4.08755629109055
2012,34000,20.64,1498.0,108.5,5.0,7.165390292628217
2012,25000,18.4,1198.0,86.8,5.0,3.571810465002727
2010,31000,12.5,1794.0,132.0,5.0,9.274787098212528
2015,20826,14.3,1598.0,103.6,5.0,10.273621155922683
2015,65938,12.07,2967.0,241.4,7.0,30.56979803448121
2017,41816,18.56,1995.0,190.0,5.0,25.062698565828214
2018,4500,18.9,1197.0,81.86,5.0,9.376268795683245
2011,77000,11.57,2179.0,138.1,7.0,10.243246858411567
2015,54996,17.85,2967.0,300.0,4.0,41.29679446907767
2017,36154,25.83,1498.0,99.0,5.0,11.0807570232123
2010,55000,19.81,1086.0,68.05,5.0,-1.4525223514624486
2014,45000,15.04,1598.0,103.6,5.0,9.192413493243748
2015,13008,20.51,998.0,67.04,5.0,3.54510842938771
2017,21000,16.0,2179.0,140.0,7.0,16.739870558277744
2017,16235,24.7,1047.0,69.0,5.0,5.922001011285374
2009,42000,17.0,1497.0,118.0,5.0,5.375174662594418
2014,112827,13.1,1997.0,141.1,5.0,15.483653736757788
2016,28000,17.8,1497.0,117.3,5.0,12.850780583802589
2015,92000,12.55,2982.0,168.5,7.0,20.65103061158061
2010,45000,14.7,2993.0,241.4,6.0,26.016558982896186
2018,41736,11.36,2755.0,171.5,7.0,23.75990390133029
2013,120000,20.77,1248.0,88.8,7.0,3.120713331661591
2007,68553,15.0,1586.0,104.68,5.0,1.722387555025307
2017,40000,24.3,1248.0,88.5,5.0,9.129052477494042
2017,49275,12.7,2179.0,187.7,5.0,25.469220401821985
2011,126000,16.0,2179.0,140.0,7.0,10.386302799357054
2015,19000,20.85,1197.0,83.14,5.0,6.2155479791854304
2015,63714,24.7,796.0,47.3,5.0,0.26152756430474255
2017,97430,14.75,2967.0,245.0,7.0,33.17623461816629
2010,38446,17.0,1497.0,118.0,5.0,6.459302511487749
2017,95802,25.83,1498.0,99.0,5.0,11.18853867984808
2013,445000,18.5,1197.0,82.9,5.0,4.880411716740582
2015,66510,21.1,814.0,55.2,5.0,1.5576982058114481
2010,67000,19.0,998.0,66.1,5.0,-1.8686827798323975
2014,19000,15.97,2993.0,258.0,7.0,31.547396420987297
2009,53000,14.49,2993.0,258.0,5.0,28.22033424080655
2018,12278,23.1,998.0,67.04,5.0,6.695250940155347
2008,71000,8.3,4134.0,250.0,7.0,27.062275473704176
2012,27000,22.3,1248.0,88.8,5.0,3.7866884782306443
2014,64042,17.3,1998.0,163.7,5.0,18.296637303494663
2010,60000,17.0,1497.0,118.0,5.0,6.498249765831588
2013,37000,20.0,2143.0,107.3,5.0,9.655006836913799
2011,68022,13.1,2499.0,141.0,7.0,11.311182734114482
2011,76000,26.3,998.0,67.1,5.0,-0.9637356608582195
2010,35102,12.6,1798.0,161.6,5.0,13.338917192412737
2013,75348,25.8,1498.0,98.6,5.0,6.736016905517317
2018,48000,24.0,1186.0,73.97,5.0,8.112100564110278
2012,94000,22.07,1199.0,73.9,5.0,1.7627018672533268
2013,45000,27.4,1498.0,98.6,5.0,6.606931951771912
2007,81000,12.05,2179.0,120.0,8.0,2.390545145676242
2016,107890,13.5,2198.0,157.7,7.0,18.390271548318196
2012,75000,15.96,2523.0,62.1,7.0,1.5380348612834496
2012,90000,13.93,2179.0,138.03,7.0,11.238190267212758
2008,138000,17.1,1396.0,70.0,5.0,-2.3564667385289795
2018,32851,18.6,1197.0,81.86,5.0,9.44141933381161
2012,89000,16.8,1497.0,116.3,5.0,8.508322761664658
2002,63000,13.1,2446.0,75.0,10.0,-10.666370767112767
2017,12000,17.0,1198.0,73.75,5.0,7.279648513764641
2009,75000,14.7,1150.0,76.0,5.0,-1.0299104767864264
2014,60000,20.7,1496.0,113.98,5.0,10.136093521239218
2014,67000,17.01,1591.0,121.3,5.0,11.547079832069358
2017,35362,22.5,998.0,67.04,5.0,5.674255783994795
2012,55000,12.99,2494.0,100.0,7.0,6.759057278648015
2015,55000,21.66,1498.0,103.52,5.0,9.745951605580558
2007,119000,13.1,1997.0,141.1,5.0,7.860959574290064
2017,41981,18.7,1199.0,88.7,5.0,9.303778358403633
2015,49894,23.59,1364.0,67.06,5.0,4.338743461715239
2015,45000,16.8,1497.0,118.0,5.0,11.93317520412802
2010,30500,11.74,1796.0,186.0,5.0,16.70583497735197
2017,14000,18.25,1968.0,187.74,5.0,24.653483246702763
2010,91000,18.9,998.0,67.1,5.0,-1.6837873669305736
2015,10000,18.88,1995.0,184.0,5.0,21.98793198085241
2015,53503,26.59,1248.0,74.0,5.0,4.881211694260401
2013,130000,21.64,1461.0,84.8,5.0,5.051096327084906
2018,3000,24.3,1248.0,88.5,5.0,10.152744682479351
2013,82966,16.8,1493.0,110.0,5.0,8.716098445401713
2012,65000,14.94,2143.0,204.0,5.0,22.086916521414878
2019,2526,19.0,2996.0,362.07,2.0,56.07172919881714
2019,24950,20.37,1461.0,108.45,5.0,14.700905762575985
2016,38143,22.9,1248.0,74.0,5.0,6.115239335926617
2015,150000,23.59,1364.0,67.05,5.0,4.518262299553044
2016,35129,21.4,1197.0,83.1,5.0,7.304244240288426
2016,57738,24.0,1120.0,70.0,5.0,5.248777088277166
2015,25000,18.6,1197.0,81.83,5.0,6.151476867324618
2018,18335,21.7,999.0,67.0,5.0,6.768055882020235
2014,52000,20.77,1248.0,88.8,7.0,4.088389721268413
2013,63000,15.96,2523.0,62.1,7.0,2.606901110928902
2011,248000,12.8,2494.0,102.0,7.0,6.299843726913878
2013,40000,21.64,1461.0,84.8,5.0,4.8884697663088446
2012,115000,15.06,1995.0,177.0,5.0,18.125063843782755
2013,38622,17.4,1497.0,117.3,5.0,9.6168865780146
2014,53817,25.47,1248.0,88.5,7.0,3.8325052307636724
2015,77000,26.0,1498.0,98.6,5.0,8.91082067887146
2015,42894,23.2,1248.0,73.94,5.0,5.011139783258386
2009,80000,20.4,1248.0,91.2,5.0,1.0275076220868868
2010,70290,17.24,1198.0,73.9,5.0,-0.2394761316209042
2013,57717,18.5,1197.0,85.8,5.0,4.577580973260865
2019,18592,26.59,1248.0,74.0,5.0,9.180328015664145
2015,64771,12.8,2494.0,102.0,8.0,9.333169418657235
2017,37712,17.45,1493.0,100.0,7.0,9.601912309859927
2017,4000,13.6,1999.0,177.0,5.0,23.454467967822893
2010,127510,19.0,1248.0,90.0,5.0,2.1046070851866716
2017,30279,26.1,1498.0,99.0,5.0,11.05761189464738
2015,58000,16.47,1198.0,73.9,5.0,5.2267967657089685
2014,45710,11.8,3498.0,272.0,7.0,34.90210497828048
2016,12500,25.17,799.0,53.3,5.0,2.0661606925154956
2014,45000,28.09,1248.0,88.5,5.0,5.690564674715915
2016,29647,20.14,1498.0,88.0,5.0,8.736724585161937
2012,137800,22.3,1248.0,74.0,5.0,1.9609592913902816
2006,196000,12.8,2494.0,102.0,7.0,0.7531327586102634
2008,121097,24.0,1396.0,88.76,5.0,-0.13918465909910083
2002,99024,17.3,993.0,60.0,5.0,-11.30318987839928
2013,81456,15.8,2148.0,170.0,5.0,18.52495261545846
2016,28000,13.7,1991.0,183.0,5.0,23.205017483406664
2014,47052,20.77,1248.0,88.76,7.0,4.073973359341835
2016,84580,26.0,1498.0,98.6,5.0,10.015067240294684
2014,43068,24.0,1120.0,70.0,5.0,3.0411693767064207
2015,59000,13.01,2199.0,194.3,7.0,22.246583177638513
2014,90000,19.01,1461.0,108.45,5.0,9.42880985720467
2016,100000,25.83,1498.0,99.0,5.0,10.10557451434488
2011,45000,14.4,1598.0,103.6,5.0,5.950463030977971
2016,71000,25.83,1498.0,99.0,5.0,10.053172622539478
2011,85000,16.55,1968.0,147.51,5.0,12.810367300546659
2007,90000,17.3,1061.0,64.0,5.0,-5.158081579225382
2016,54000,20.77,1248.0,88.76,7.0,6.267627711998102
2014,89540,12.55,2982.0,168.5,7.0,19.556035694503862
2013,39575,25.8,1498.0,98.6,5.0,6.671376461532418
2009,99100,9.74,1984.0,208.0,5.0,19.289017569294174
2017,40250,17.19,1197.0,81.86,5.0,8.429669666241352
2012,119000,14.84,2143.0,170.0,5.0,17.534945156349295
2012,45000,17.0,1896.0,105.0,5.0,7.818061846753608
2016,45492,21.5,1498.0,108.5,5.0,11.508447150175925
2016,53000,14.67,1798.0,177.46,5.0,21.98954122622763
2016,18949,17.8,1198.0,86.7,5.0,7.937229645087427
2016,53702,23.59,1364.0,67.04,5.0,5.433436405775865
2010,47722,21.1,1248.0,73.9,5.0,-0.34091112399983103
2009,79000,9.8,2354.0,180.0,5.0,16.29370183694482
2017,20000,24.07,998.0,67.1,5.0,5.581855368543984
2015,54000,27.39,1248.0,74.0,5.0,4.844986115542724
2017,18000,11.36,2755.0,171.5,8.0,21.62867839386081
2014,54890,17.8,1199.0,76.8,5.0,4.468253433694372
2015,27000,17.57,1193.0,88.7,5.0,7.133829892049562
2011,41000,20.36,1197.0,78.9,5.0,1.3354356120826196
2011,110000,16.96,1968.0,138.1,5.0,11.548400574846255
2014,58003,19.01,1461.0,108.45,5.0,9.37099250092524
2011,76976,19.7,796.0,46.3,5.0,-3.981572805962969
2015,26000,21.5,1197.0,81.8,5.0,6.014604002474243
2015,75000,24.6,1193.0,55.23,5.0,2.3127028999701906
2009,37000,16.95,1197.0,78.9,5.0,-0.6946523071583215
2017,30279,26.1,1498.0,99.0,5.0,11.05761189464738
2006,196000,12.8,2494.0,102.0,7.0,0.7531327586102634
2009,70000,13.5,1799.0,130.0,5.0,7.946375125824488
2009,30000,12.4,2698.0,179.5,5.0,16.831111563072227
2018,10250,22.0,1582.0,126.2,5.0,16.22460191283244
2017,14000,24.0,1186.0,73.97,5.0,6.9601140722907076
2016,120000,23.2,1248.0,73.94,5.0,6.241017169842962
2008,48233,13.4,1794.0,125.0,5.0,6.124847668634629
2011,143143,17.8,1399.0,67.0,5.0,0.48843699442204525
2018,24237,18.16,1196.0,86.8,5.0,10.12012894814734
2018,13102,21.1,814.0,55.2,5.0,4.732841363969783
2014,23000,17.3,1497.0,117.3,7.0,8.688277124060733
2011,50058,19.2,1197.0,80.0,5.0,1.5562090108028315
2014,64000,19.27,2143.0,170.0,5.0,19.41108969081688
2010,50000,17.0,1197.0,80.0,5.0,0.5676444224327497
2017,42646,19.6,1461.0,108.45,5.0,12.587513678457526
2017,30523,14.7,1798.0,177.5,5.0,23.043559315792663
2019,9312,18.0,2987.0,258.0,5.0,38.86979371082589
2014,59000,25.8,1498.0,98.6,5.0,7.7970264853152
2017,35225,23.1,998.0,67.04,5.0,5.646165501185806
2007,90000,13.8,1299.0,70.0,5.0,-3.61043987706762
2019,20667,22.0,1197.0,81.8,5.0,10.343964365391912
2012,68038,20.14,1498.0,88.0,5.0,4.443896490775387
2011,62000,12.9,1799.0,130.0,5.0,10.140861742742345
2011,100000,13.0,1343.0,90.0,5.0,3.648960196299413
2017,82000,24.4,1120.0,71.0,5.0,6.501493442046012
2013,55000,20.54,1598.0,103.6,5.0,7.864708303785392
2014,61517,16.95,1197.0,78.9,5.0,4.802397930369807
2011,78000,13.7,1798.0,157.75,5.0,13.928918707488265
2011,53766,19.0,998.0,66.1,5.0,-0.8020463210314119
2017,61221,17.84,1395.0,147.51,5.0,17.893215180607058
2015,31000,18.7,1199.0,88.7,5.0,7.102836528863008
2019,7858,25.17,799.0,53.3,5.0,5.32942214914965
2017,21000,21.76,1995.0,190.0,5.0,24.87659029437873
2006,56000,19.7,796.0,46.3,5.0,-9.47222459180557
2013,49000,8.2,2993.0,245.0,4.0,32.08543346146007
2014,85071,20.0,1968.0,138.1,5.0,14.633934370561747
2016,74000,21.9,1396.0,88.76,5.0,8.597560741959569
2015,97000,27.3,1498.0,98.6,5.0,8.886634001670245
2015,23000,16.8,796.0,34.2,5.0,-1.2386763104041165
2012,34000,20.64,1498.0,108.5,5.0,7.165390292628217
2015,66122,21.66,1498.0,103.52,5.0,9.76604863456896
2016,120000,23.2,1248.0,73.94,5.0,6.241017169842962
2010,68000,11.5,2993.0,235.0,5.0,26.328316929112134
2012,65634,22.07,1199.0,73.9,5.0,1.7114455892201477
2012,61240,22.48,1995.0,190.0,5.0,19.463142206399425
2013,85000,17.68,1968.0,174.33,5.0,18.610362555536994
2009,68000,16.1,1298.0,88.2,5.0,0.9131660913089945
2014,42000,19.1,1197.0,81.86,5.0,5.072549788663309
2015,85000,23.9,1582.0,126.2,5.0,12.999854291145766
1999,70000,17.3,993.0,60.0,5.0,-14.627284510534082
2011,100000,13.0,1343.0,90.0,5.0,3.648960196299413
2012,48000,19.3,1248.0,73.9,5.0,1.9242189806741408
2017,30279,26.1,1498.0,99.0,5.0,11.05761189464738
2014,54448,21.02,1248.0,88.8,5.0,6.076783369469467
2011,64000,19.7,796.0,46.3,5.0,-4.005019942103445
2016,67000,26.0,1498.0,98.6,5.0,9.983300852089542
2016,42244,19.67,1582.0,126.2,5.0,14.209436863851806
2014,60138,19.81,1086.0,68.05,5.0,2.9189609825248226
2016,32700,19.4,1198.0,86.8,5.0,7.901518686679083
2017,24393,13.68,2393.0,147.8,7.0,18.428420372521032
2015,25000,18.9,1197.0,82.0,5.0,6.160826441584504
2011,46000,16.8,1497.0,116.3,5.0,7.340073613767345
2010,73000,17.0,1197.0,80.0,5.0,0.6092045435202635
2016,22129,18.9,1197.0,82.0,5.0,7.246188445377811
2018,26200,24.7,796.0,47.3,5.0,3.4653905730961014
2016,45376,28.4,1248.0,73.75,5.0,5.838862105490534
2015,40000,17.57,1193.0,88.7,5.0,7.157320395273018
2015,65800,17.01,1582.0,126.2,5.0,13.284887963373876
2013,95500,20.54,1598.0,103.6,5.0,7.937890256134324
2014,35000,16.46,2993.0,258.0,5.0,33.549140923699724
2012,65664,16.55,1968.0,140.0,5.0,12.837949735869643
2014,44000,16.47,1198.0,74.0,5.0,4.124638297135789
2015,40000,26.59,1248.0,74.0,5.0,4.856812289258869
